"destino","precio_bs","municipio","combinacion"
"Arjona 46/Centro",20,"San Cristóbal","si"
"Arjona 46/Concordia",25,"San Cristóbal","si"
"Las Vegas P/C/Centro",16,"San Cristóbal","si"
"Las Vegas P/C/Concordia",22,"San Cristóbal","si"
"Las Vegas P/B/Obrero",22,"San Cristóbal","si"
"Las Vegas P/B/P/Nuevo",22,"San Cristóbal","si"
"Las Vegas P/B/B Surco",25,"San Cristóbal","si"
"Las Vegas P/B/Libert",25,"San Cristóbal","si"
"Sabaneta/Centro",22,"San Cristóbal","si"
"Sabaneta/Concordia",25,"San Cristóbal","si"
"Sabaneta/B/Obrero",25,"San Cristóbal","si"
"Sabaneta/Mercado",15,"Cardenas","si"
"Palmina/Centro",25,"San Cristóbal","si"
"Palmina/Concordia",30,"San Cristóbal","si"
"Abajal Transito/Centro",27,"San Cristóbal","si"
"Abajal Transito/Concordia",30,"San Cristóbal","si"
"Caneyes/Centro",27,"San Cristóbal","si"
"Caneyes/Concordia",30,"San Cristóbal","si"
"Bocas C/Centro",22,"San Cristóbal","si"
"Bocas C/Hoyo",25,,"si"
"Bocas C/Mercado",15,"Cardenas","si"
"Barrancas p/b/Centro",18,"San Cristóbal","si"
"Barrancas p/b/Concordia",20,"San Cristóbal","si"
"Barrancas p/a centro",22,"San Cristóbal","si"
"Barrancas p/a concordia",25,"San Cristóbal","si"
"Tucupe/Centro",25,"San Cristóbal","si"
"Tucupe/Concordia",30,"San Cristóbal","si"
"Tucupe/Mercado",17,"Cardenas","si"
"Capachito P/B/Centro",25,"San Cristóbal","si"
"Capachito P/A/Concordia",40,"San Cristóbal","si"
"Junco Matadero/Centro",25,"San Cristóbal","si"
"Junco 46/Centro",27,"San Cristóbal","si"
"Junco Paramo/Centro",35,"San Cristóbal","si"
"El Torbes/Centro",25,"San Cristóbal","si"
"Ollgara/Centro",30,"San Cristóbal","si"
"Diamante/Centro",20,"San Cristóbal","si"
"Diamante/Concordia",25,"San Cristóbal","si"
"Diamante/B/Obrero",25,"San Cristóbal","si"
"El Viejon/Centro",25,"San Cristóbal","si"
"El Viejon/Concordia",30,"San Cristóbal","si"
"El Hiranzo/Centro",25,"San Cristóbal","si"
"El Hiranzo/Concordia",30,"San Cristóbal","si"
"Llanitos/Centro",27,"San Cristóbal","si"
"Llanitos/Concordia",32,"San Cristóbal","si"
"San Rafael 46/Centro San Cristóbal",25,"San Cristóbal","si"
"San Rafael V/Centro San Cristóbal",28,"San Cristóbal","si"
"San Rafael P/A/Centro San Cristóbal",32,"San Cristóbal","si"
"San Rafael 12Dic/Centro San Cristóbal",35,"San Cristóbal","si"
"Lomas B.Parada B/Centro San Critóbal",25,"San Cristóbal","si"
"Lomas B.Flamingo/Centro Cristóbal",30,"San Cristóbal","si"
"Cordero Plaza/Centro San Cristóbal",30,"San Cristóbal","si"
"Cordero M.Felipe/Centro San Cristóbal",25,"San Cristóbal","si"
"Margaritas Policía/Centro San Cristóbal",22,"San Cristóbal","si"
"Margaritas Carrascal/Centro San Cristóbal",20,"San Cristóbal","si"
"Margaritas P/C/Concordia",25,"San Cristóbal","si"
"Margaritas P/A/Concordia",25,"San Cristóbal","si"
"Patiectos/Centro San Cristóbal",22,"San Cristóbal","si"
"Patiectos/Concordia",27,"San Cristóbal","si"
"las vegas/mercado Tariba",12,"Cardenas","si"
"Aerop. San Antonio",120,"Bolívar","no"
"Aerop. Santo Dom.",120,"Fernandez Feo","no"
"Arjona",12,"Cardenas","no"
"Abajal Policía",18,"Guasimos","no"
"Abajal las malvinas",20,"Guasimos","no"
"Alcalde Copa D Oro",18,"Guasimos","no"
"Altos de Gallardón p/a",15,"Cardenas","no"
"Altos de gallardón P/b",18,"Cardenas","no"
"Altos de Paramillo",20,"Cardenas","no"
"Altos de pirineos",25,"San Crístóbal","no"
"Barrancas P/B",15,"Cardenas","no"
"Barrancas P/A/Spal",18,"Cardenas","no"
"Barrancas la loma",15,"Cardenas","no"
"Barrio Libertador",22,"San Crístóbal","no"
"Barrio Sucre",25,"San Crístóbal","no"
"Barrio Obrero",20,"San Crístóbal","no"
"Barrio el Rio",20,"San Crístóbal","no"
"Barrio Romulo Gallegos",22,"San Crístóbal","no"
"Barrio el Hoyo",25,"San Crístóbal","no"
"Barrio la Playa",25,"San Crístóbal","no"
"Barrio alianza",25,"San Crístóbal","no"
"Barrio 23 enero",20,"San Crístóbal","no"
"Barrio marco tulio",25,"San Crístóbal","no"
"Borota",50,"Lobatera","no"
"Berlin Via Rublo",40,"Libertad","no"
"Boca Caneyes 79",12,"Cardenas","no"
"Boca Caney calle orqu",15,"Cardenas","no"
"Barrio Bolivar",15,"San Crístóbal","no"
"Barrio El Lobo",20,"San Crístóbal","no"
"Barrio santa cecilia",18,"San Crístóbal","no"
"Barrio el lago",13,"San Crístóbal","no"
"Barrio las flores",20,"San Crístóbal","no"
"Centro Sta Ana",15,"Cordoba","no"
"Caneyes",18,"Cardenas","no"
"Cordero Plaza Bolivar",20,"Andres Bello","no"
"Cordero Esquema",25,"Andres Bello","no"
"Cordero Manuel Felip",25,"Andres Bello","no"
"Capachito Urb",18,"Cardenas","no"
"Capachito P/A",25,"Cardenas","no"
"Capacho Indep",40,"Capacho Nuevo","no"
"Capacho Libertad",45,"Capacho Viejo","no"
"Capacho Cristo y Otros",90,"Capacho Nuevo","no"
"Campo C",30,"Capacho Nuevo","no"
"Chorro el Indio",70,"San Crístóbal","no"
"Cuesta el Trapiche",25,"San Crístóbal","no"
"Ollgara P/B",25,,"no"
"Ollgara capilla",30,,"no"
"Casa el Padre",80,"Lobatera","no"
"Curazao",20,"Guasimos","no"
"Concordia",20,"San Crístóbal","no"
"Cueva del oso",25,"San Crístóbal","no"
"Cruz roja",20,"San Crístóbal","no"
"Diamante 12Pt",12,"Cardenas","no"
"Diamante La Victoria",15,"Cardenas","no"
"Entrada Torres",15,,"no"
"El Torbes",18,,"no"
"El Torbes Salao",20,,"no"
"El Torbes Villa Sol",25,,"no"
"El Corozo",40,"San Cristóbal","no"
"El Valle",45,"Capacho Nueve","no"
"El Palmar Nuevo",55,"Torbes","no"
"El Palmar Viejo",60,"Torbes","no"
"El Tope Vía Rubo",35,"Capacho Viejo","no"
"El Topon Pueblo A.",30,"Guasimos","no"
"El Vegon",12,"Cardenas","no"
"El Mirador Alcabala",20,"San Cristóbal","no"
"El Mirador Cement",25,"San Cristóbal","no"
"El Mirador santa E",30,"San Cristóbal","no"
"Estacion Palmira",15,"Guasimos","no"
"Granjas infantiles",20,"San Cristóbal","no"
"Guzman Blanco",22,"San Cristóbal","no"
"Hiranzo",15,"Cardenas","no"
"Hiranzo P/A",20,"Cardenas","no"
"Hospital Central",20,"San Cristóbal","no"
"Hospital Militar",22,"San Cristóbal","no"
"Junco Ter Matadero",15,"Cardenas","no"
"Junco 46 hasta 87",20,"Cardenas","no"
"junco paramo",25,"Cardenas","no"
"Junco viejo",25,"Cardenas","no"
"Las Vegas",10,"Cardenas","no"
"Llanitos",17,"Capacho Nuevo","no"
"Loma de Pta",40,,"no"
"Loma del Viento",50,"San Cristóbal","no"
"Lomas B. Parada B.",18,"Cardenas","no"
"Lomas B. Flamingo",20,"Cardenas","no"
"La Popa. Vereda 8",25,"San Cristóbal","no"
"Lagunillas Via rublo",30,"San Cristóbal","no"
"La Perla y el ojito",25,,"no"
"La Blanca",30,,"no"
"La Aduana",30,,"no"
"Laja Llanitos",35,"Capacho Nuevo","no"
"La Victoria",18,"Guasimos","no"
"Las Lomas",15,"San Cristóbal","no"
"La Laguna p/b",22,"Guasimos","no"
"La laguna p/a",25,"Guasimos","no"
"La Chucuri",25,"San Cristóbal","no"
"La Tinta Escuela",60,"San Cristóbal","no"
"la puente",20,,"no"
"la y",18,,"no"
"la flautera",18,,"no"
"Mercado",10,"Cardenas","no"
"Margaritas",12,"Cardenas","no"
"Machirí p/b",15,"San Cristóbal","no"
"Machirí p/a",18,"San Cristóbal","no"
"Mata de Guadua",35,"San Cristóbal","no"
"Murachi",50,"Torbes","no"
"Murachi de la vega",40,"Torbes","no"
"Monte Carmelo",40,"Andrés Bello","no"
"Palmira centro",15,"Guasimos","no"
"Palmira santa teresa",18,"Guasimos","no"
"Patiectos",12,"Guasimos","no"
"Palo grande",35,"Lobatera","no"
"Palo Gordo Tacca c.c",15,"Cardenas","no"
"Palo Gor Elecha p/b",30,"Cardenas","no"
"Palo Gor Elecha p/a",30,"Cardenas","no"
"Palo Gorde calle del medio",18,"Cardenas","no"
"Palo Gordo tosco",18,"Cardenas","no"
"Peribeca Iglesia",25,"Capacho Nuevo","no"
"Pericos",40,"San Cristóbal","no"
"Pirineos I",22,"San Cristóbal","no"
"Pirineos II",25,"San Cristóbal","no"
"Polidepcho Techira",22,"San Cristóbal","no"
"Pueblo Nuevo",20,"San Cristóbal","no"
"Pueblo Chiquito",20,,"no"
"Pueblo Ch. Galpon",25,,"no"
"Romulo G. P/A",20,"San Cristóbal","no"
"Romulo G. P/B",22,"San Cristóbal","no"
"Rubio",70,"Junín","no"
"Remanso",18,"Guasimos","no"
"San Josecito",50,"Torbes","no"
"Santa Eduvigis ppila",10,"Cardenas","no"
"Santa Eduvigis p/a",12,"Cardenas","no"
"Santa Ana",60,"Cordoba","no"
"San Rafael 46",15,"Cardenas","no"
"San Rafael Cruce 87",20,"Cardenas","no"
"San Rafael Garcia",25,"Cardenas","no"
"San Rafael 12 Oct",22,"Cardenas","no"
"Sabaneta 1-6",12,"Cardenas","no"
"Sabaneta 8-1",25,"Cardenas","no"
"Santa Teresa Hospital IVSS",15,"San Cristóbal","no"
"Sambil",15,"San Cristóbal","no"
"Terminal",20,"San Cristóbal","no"
"Tachira",22,,"no"
"Tucupe P/A",15,"Cardenas","no"
"Tucupe Bella Vista",15,"Cardenas","no"
"Tucupe Matadero",18,"Cardenas","no"
"Oeibos",15,,"no"
"Unidad Vecinal",20,"San Cristóbal","no"
"UCAT Vieja",20,"San Cristóbal","no"
"UCAT Nueva",15,"San Cristóbal","no"
"UNET",20,"San Cristóbal","no"
"ULA",18,"San Cristóbal","no"
"Vega de Aza",60,"Torbes","no"
"Villa Chalet",30,"Guasimos","no"
"Zorca Providencia",25,"San Cristóbal","no"
"Zorca San Isidro",30,"San Cristóbal","no"
"Zorca Pie de Cuesta",30,"San Cristóbal","no"
"Zona ind. Paramillo",20,"San Cristóbal","no"
